Sl.no,U-DISE School Code,School Name
625,11040500101,TARPIN SS
626,11040500103,TARPIN SAALGHARI
627,11040500105,RHENOCK JHS
628,11040500201,RESHI PS
629,11040500301,RUNGDUNG PS
630,11040500801,SUDUNG LAKHA SS
631,11040500802,LOWER SUDUNG LAKHA PS
632,11040500901,MULUKEY JHS
633,11040501201,TITRIBOTEY PS
634,11040501202,TAZA JHS
635,11040501301,LOWER BERING PS
636,11040501302,BERING JHS
637,11040506401,GANCHUNG JHS
638,11040506501,DUGA LAKHA JHS
639,11040506601,TARETHANG SS
640,11040506602,TAKSONG KAIZLEY
641,11040506701,KAPUTHANG PS
642,11040506801,LINKEY SS
643,11040506901,D.MANPUR PS
644,11040507001,ANKUCHEN PS
645,11040601701,RALAP SS
646,11040602101,SAKYONG CHISOPANI PS
647,11040602301,DOCHUM JHS
648,11040602501,SIRWANI SS
649,11040602601,SINGTAM SSS
650,11040602801,BIRKUNA JHS
651,11040603001,BENG THANG SING PS
652,11040603101,BADONG THANG SING PS
653,11040603201,DIPU DARA PS
654,11040603301,LINGDONG PS
655,11040603601,KHAMDONG SSS
656,11040604501,SAKYONG NAMGEYTHANG JHS
657,11040604601,RABDONG CHOTANG
658,11040604701,MIDDLE CAMP SS
659,11040604801,MAKHA SSS
660,11040604901,SINGBEL JHS
661,11040605001,THANSING PS
662,11040700101,KAMBAL JHS
663,11040700102,LOWER KAMBAL PS
664,11040700201,PHALAICHADARA JHS
665,11040700203,LAXMI NIKETAN PS
666,11040700301,RALEY KHESEY JHS
667,11040700401,SAMDONG SSS
668,11040700402,LOWER SAMDONG SS
669,11040700501,TINTEK MARCHAK PS
670,11040700601,DIKCHU SSS
671,11040700603,RAKDONG SOPKEY
672,11040700701,SAMTHAR PS
673,11040700801,TINTEK CHUBA PS
674,11040700803,TINTEK SARASWATI PS
675,11040700901,RAKDONG TINTEK JHS
676,11040701001,TUMIN NAMRANG JHS
677,11040701101,TUMIN BARANG
678,11040701201,TUMIN DHANBARI
679,11040701301,MACHALAKHA PS
680,11040701401,TUMIN SS
681,11040701402,MINTOKGANG PS
682,11040701403,SURYODAYA JHS
683,11040701501,SUBITHANG PS
684,11040701601,SIMICK LINGZEY JHS
685,11040701701,DONGEY THANG PS
686,11040701801,PATUK CHANDEYJHS
687,11040701802,CENTRAL PATUK PS
688,11040701901,PATUK KOKALEY PS
689,11040702001,TORIBARI PS
690,11040800101,OKHERBOTEY PS
691,11040800201,BUDANG P S
692,11040800301,SAJONG JHS
693,11040800401,CENTRAL PENDAM SSS
694,11040800501,KUMREK PS
695,11040800701,MAJITAR SS
696,11040800801,RANGPO BAZAR JHS
697,11040801001,RANGPO SSS
698,11040801101,SAMSING SUNTALEY PS
699,11040801401,ZITLANG JHS
700,11040801601,CHERIBOWTEY JHS
701,11040801701,DUGA SS
702,11040801801,KHANI GAON PS
703,11040801901,SINGLEBONG JHS
704,11040802001,SAKHU KHANI PS
705,11040802101,SAPLEY SARDEREY SS
706,11040802104,SAWNEY PS
707,11040802201,SUMIN MANGTHANG JHS
708,11040802301,UPPER SUMIN JHS
709,11040802401,LOWER SUMIN SS
710,11040802501,SUMIN LINGCHEY SS
711,11040802502,UPPER LINGCHEY PS
712,11040802801,BORDANG JHS
713,11040802902,PADAMCHEY SS
714,11040803001,BHASMEY JHS
715,11040803101,PACHAK SS
716,11040803201,UPPER PACHAK PS
717,11040803301,DAMALAKHA JHS
718,11040803401,KAIYONG PS
719,11040803501,KAMEREY PS
720,11040900101,RUMTEK SSS
721,11040900102,R/ KAYATHANG PS
722,11040900103,REY MINDU JHS
723,11040900104,ADAM POOL JHS
724,11040900301,SAZONG THIMPEN PS
725,11040900401,CHINZEY PS
726,11040900501,MAHABIR PS
727,11040900601,DOKSING PS
728,11040900701,THAMI DARA JHS
729,11040900801,LUING SS
730,11040900802,LOWER LUING PS
731,11040900901,KATUK VIDHAYA SAGAR PS
732,11040901001,PHENZONG PS
733,11040901101,PERBING JHS
734,11040901201,BARBING PS
735,11040901301,SAMALINGDUM JHS
736,11040901401,RANKA SSS
737,11040901403,RANKA RAIGAON PS
738,11041000101,RANIPOOL SSS
739,11041000102,MARCHAK CHUTEN
740,11041000201,SAMLICK MARCHAK JHS
741,11041000301,TUMLABONG JHS
742,11041000401,NAMIN DHURBA
743,11041000501,CHUBA JHS
744,11041000601,CHUJA MARTAM PS
745,11041000701,SANG KHOLA PS
746,11041000901,SANG SSS
747,11041001001,MARTAM YANGTHANG JHS
748,11041001101,BEYONG PS
749,11041001201,TIRKUTAM PS
750,11041001301,MARTAM SS
751,11041001401,NAZITAM PS
752,11041001501,MARTAM LINGTAM PS
753,11041001601,SANG TSHALAMTHANG SS
754,11041001701,BURUNG JHS
755,11041001801,ZINGLA PS
756,11041100101,MACHONG SSS
757,11041100102,RIKYAP PS
758,11041100103,PHERI PS
759,11041100201,BARAPATHING JHS
760,11041100301,LATUK PS
761,11041100401,LOSSING PS
762,11041100501,PARAKHA JHS
763,11041100601,TOKCHI
764,11041100701,THEKABONG PS
765,11041100801,TEENKHARKA PS
