Sl.no,School Code,School Name
292,11030700103,SOUTH POINT ACADEMY
293,11020700202,CAROL ACADEMY
294,11020700107,EUREKA RESIDENTIAL SCHOOL
295,11020700106,EVERGREEN ENGLISH SCHOOL
296,11020700204,HIMALAYAN ENGLISH ACADEMY
297,11020700203,HOLYCROSS ENGLISH SCHOOL
298,11020700102,PARSURAM MEMORIAL ACADEMY
299,11020700104,SHANTI MEMORIAL ACADEMY
300,11020700103,SUN RISE ENGLISH SCHOOL
301,11020700105,SWARSWATI BAL VIDHALAYA
302,11020500104,HIMALAYAN ACADEMY LUNGCHOK
303,11020501002,MODEL ENGLISH SCHOOL
304,11020500105,RRAGHUNANDA SAPKOTA MEMORIAL SCHOOL
305,11020500103,UNITED ACADEMY SCHOOL DARAMDIN
306,11020500303,HIMALAYAN RISING ACADEMY
307,11020500210,LILLYFIELD ACADEMY
308,11020500209,PRATAP INTERNATIONAL SCHOOL
309,11020500208,SAI GURUKUL ACADEMY
310,11020500203,SUNRISE ACADEMY SCHOOL
311,11020500206,WOODSTOCK SCHOOL SOMBAREY
312,11020400203,MOUNT KANCHAN ACADEMY
313,11020400204,NEW WISDOM ACADEMY
314,11020400202,ROSHAN MEMORIAL ACADEMY
315,11020400604,ST. PAUL'S SCHOOL CHANGEY
316,11020400602,SUN RISE ACADEMY
317,11020401202,VINEYARD PRIVATE SCHOOL
318,11020404301,MOUNT ZION ACADEMY HEE
319,11020404302,POLE STAR ENGLISH SCHOOL HEE
320,11020400402,BAL JYOTI VIDYA PITH
321,11020403302,EUREKA RESIDENTIAL SCHOOL BRANCH II
322,11020400802,KALEZ VALEY ENGLISH SCHOOL
323,11020400502,P.M.M. U. SMART ACADEMY
324,11020400505,SARASWATI VIDHYA ACADEMY
325,11020400503,WESTERN MODERN ENGLISH SCHOOL
326,11020103702,LITTLE KIDS ACADEMY
327,11020112302,NEW TULIPS KINDERGARDEN
328,11020100703,VISION ACADEMY DARAP
329,11020112301,WESTERN MODERN SCHOOL
330,11020111202,ANNE'S HOUSE NURSUARY SCHOOL
331,11020111701,HIMALAYAN BAPTISE SCHOOL
332,11020111205,MANJUSHREE ENGLISH SCHOOL
333,11020111207,PIONEER ACADEMY GYALSHING
334,11020100402,SARASWATI VIDYALAYA KYONGSHA
335,11020111206,SKYLARK ACADEMY
336,11020111901,ST MARRY'S CONVENT
337,11020100403,St. EDMUND'S ACADEMY GURUTHANG
338,11020111601,ANNES HOUSE LEGSHIP
339,11020111602,VIDHYA SAGAR ACADEMY LEGSHIP
340,11020102102,GREEN VALE LANGANG
341,11020112401,I B SUBBA MEMORIAL INSTITUTE
